en	zo
and he blessed Abram, saying, “Blessed be Abram by God Most High, Creator of heaven and earth.	Amah in thupha pia a, “Vantung le leitung a bawl, Sang Pen Pasian in Abram thupha pia hen!
And when the Israelites saw the great power the LORD had displayed against the Egyptians, the people feared the LORD and put their trust in Him and in His servant Moses.	Israel mite in Egypt mite’ tungah Topa’ bawl nasepna lianpi mu uh a, mite in Topa a zahtak uh hi. Amaute in Topa le ama nasem Moses a um uh hi.
so that your descendants will know that I had the Israelites live in booths when I brought them out of the land of Egypt. I am the LORD your God.”	Tua pen keimah in Egypt gam panin amaute ka paikhiatpih lai-in Israel mite, buk sungah ka tensakna thu note’ suanlekhakte in a theih nading uh ahi hi; kei pen Topa na Pasian uh ka hi hi,” a ci hi.
Only do not rebel against the LORD, and do not be afraid of the people of the land, for they will be our bread. Their protection is gone, but the LORD is with us. Do not be afraid of them.”	Topa phunsan kei hamtang un. Amaute pen zialmang pak ding ihih manin tua gam mite kihta kei un. Amau’ kiang panin amau’ kidalna kilakhia khin a, eite tawh Topa hong om hi; amaute kihta kei un,” a ci uh hi.
Impress them on your children. Talk about them when you sit at home and when you walk along the road, when you lie down and when you get up.	Na tate uh tungah limtakin na hilh ding uh a, na innsung uhah na tut uh ciang, lampi-ah na pai uh ciang, na lup ciang uh le na thawh ciangun tua thute na gengen ding uh hi.
So be very careful to love the LORD your God.	Tua ahih ciangin Topa na Pasian uh na it ding uh hoihtakin ngaihsun un.
But Gideon told them, “I will not rule over you, nor will my son rule over you. The LORD will rule over you.”	Gideon in amaute kiangah, “Note kong uk kei ding a, ka tapa in zong note hong uk lo ding hi. Topa in note hong uk ding hi,” a ci hi.
Above all, fear the LORD and serve Him faithfully with all your heart; consider what great things He has done for you.	Topa zahtak unla, na lungsim khempeuh uh tawh citakin ama na sem un; bang hang hiam cih leh note a dingin amah in na lian hong bawlsaksate ngaihsun un.
my God is my rock, in whom I take refuge, my shield and the horn of my salvation. He is my stronghold, my refuge, and my savior—from violent men You save me.	ka Pasian, ka kihutna, ka bukna pa, lum bangin kei a hong dal, ka munmuanhuai le ka belh, keimah hong honkhia pa hi a, ngong hihna panin hong hon hi.
Then you call on the name of your god, and I will call on the name of the LORD. The god who answers by fire—he is God.” And all the people said, “That is a good idea.”	Tua ciangin note in na pasian tung uhah thu ngen unla, keimah in zong Topa’ tungah thu ka ngen ding hi. Tua ciangin thungetna mei tawh hong pia pasian pen Pasian taktak ahi hi,” a ci hi. Tua ciangin mi khempeuh in dawngin, “Hih na thugen hoih hi,” a ci uh hi.
All this took place because the Israelites had sinned against the LORD their God, who had brought them up out of Egypt from under the hand of Pharaoh king of Egypt. And they had worshiped other gods	Hih thu a pianna pen Egypt kumpi Faro’ khutnuai Egypt gam panin amaute a paikhiatpih a Pasian uh Topa’ tungah Israel mite khial a, pasian dangte kihta-in
Ascribe to the LORD the glory due His name; bring an offering and come before Him. Worship the LORD in the splendor of His holiness.	Amah in a ngah ding a kilawm minthanna Topa’ tungah pia un. Biakna puak unla, ama mai-ah pai un! Biakna puan silhin Topa bia un.
When Solomon finished praying, fire came down from heaven and consumed the burnt offering and the sacrifices, and the glory of the LORD filled the temple.	Solomon a thunget a tawp ciangin, vantung panin meikuang hong paisukin meihal biakna le biakpiaknate kangtum a, tua ciangin Topa’ minthanna vang biakinn sung hong dim hi.
Despite their fear of the peoples around them, they built the altar on its foundation and sacrificed burnt offerings on it to the LORD—both the morning and evening sacrifices.	Amaute in tua gam a midang tengte kihta uh ahih manin a mun lui mahah biakna tau phut pahin zing le nitak simin Topa’ tungah meihal biakna a pia uh hi.
And Ezra blessed the LORD, the great God, and all the people answered, “Amen, Amen!” as they lifted their hands. Then they bowed down and worshiped the LORD with their faces to the ground.	Tua ciangin Ezra in a lian Pasian, Topa thupha pia a, mi khempeuh in a khut uh laamto-in, “Hi tahen. Hi ta hen,” ci-in a dawng uh hi. Tua ciangin a lu uh kunin leilam maingatin Topa a bia uh hi.
But Mordecai found out about the plot and told Queen Esther, who in turn reported it to the king in Mordecai’s name.	Hih thu Mordekai in phawkin Kumpinu Esther kiangah ko a, Esther in Mordekai’ hong thupuak, ci-in kumpipa kiangah a gensawn hi.
“Behold, blessed is the man whom God corrects; so do not despise the discipline of the Almighty.	“Pasian in a taii mite mi nuamsa hizaw ahih manin, Vanglianpa’ taiina thupi san in.
Delight yourself in the LORD, and He will give you the desires of your heart.	Topa sungah lungkim in; amah in na deihna hong pia ding hi.
I have hidden Your word in my heart that I might not sin against You.	Nangma tungah kong khialh loh nadingin ka lungsim sungah nangma thu ka khol hi.
A man who is patient has great understanding, but a man who is quick-tempered displays folly.	A lungduaite mipil hi a, lungtomna pen haina kilatna ahi hi.
Whatever your hand finds to do, do it with all your might, for in the grave, where you are going, there is neither working nor planning nor knowledge nor wisdom.	Na mai-ah sep ding a om khempeuh, na tha neihzah tawh sem in. Bang hang hiam cih leh na zuat ding sihna gam sungah nasepna le thungaihsutna, pilna le theihna cihte om lo hi.
Then I heard the voice of the Lord saying, “Whom shall I send? And who will go for Us?” And I said, “Here am I. Send me!”	Tua ciangin, “Kua sawl ding a, eite a dingin kua va pai ding ahi hiam?” Topa’ cihna aw ka za hi. Tua ciangin ke’n, “Hih lai-ah kei om ing! Kei hong sawl in,” ka ci hi.
“Is not My word like fire,” declares the LORD, “and like a hammer that breaks a rock in pieces?	Ka kammal pen mei tawh ahi a, suangtum a satnenzo sek tawh ahi zongin kibang hi lo ahi hiam, Topa in kong ci hi.
They are new every morning; great is Your faithfulness.	zing nisuak bangin thaksuak tawntung a, ni a hong suah pelmawh mah tawh a kibang ahi hi.
You must speak My words to them, whether they listen or fail to listen, for they are rebellious.	Amaute in hong mang a, hong mang kei zongin, nang tungah kong gen khempeuh amaute tungah va gen in. Amaute pen a lehdo thei mi ahihna uh phawk in.
With flattery he will corrupt those who have violated the covenant, but the people who know their God will firmly resist him.	Kumpipa in tua biakna a nusia mite a thuzawh theih nadingin zuaugen siamna a zang ding hi. Ahih hangin Pasian’ nung a zui mite ahih uhleh thahatin a gualzo ding uh hi.
Sow for yourselves righteousness, reap the fruit of loving devotion, and break up your unplowed ground. For it is time to seek the LORD, until He comes and showers righteousness on you.	Khai tuh bangin thuman tuhin, kei nong itna hangun a piang thuphate at un. Note’ Topa keima lamah nong kihei ding uh a hun hita ahih manin lo thak lei kalkham un. Tua hileh kei hong pai-in note tungah thupha kong pia ding hi, ka ci hi.
And everyone who calls on the name of the LORD will be saved; for on Mount Zion and in Jerusalem there will be deliverance, as the LORD has said, among the survivors whom the LORD calls.	Ahi zongin Topa’ tungah huhna a ngen khempeuh in hotkhiatna a ngah ding uh hi. Topa’ gensa bangmahin Zion Mual le Jerusalem khua sungah a suakta mi om ding uh hi. Topa in a teel mite, suakta ding uh hi.
Do two walk together unless they have agreed to do so?	Mi nih, thukimna om masa lopi-in lampi-ah tonkhawm thei uh ahi hiam?
Deliverers will go up on Mount Zion to govern the mountains of Esau. And the kingdom will be the LORD’s.	A gualzo Jerusalem khuamite in Esau’ gam simin uk ding uh a, tua gam pen Topa’ gam ahi ding hi.
But I, with a song of thanksgiving, will sacrifice to You. What I have vowed I will make good. Salvation comes from the LORD.”	Ahih hangin ke’n ahihleh lungdamna aw tawh biakna kong pia ding a, ka ciamsa thu ka tangtungsak ding hi. Topa’ kiang pan hotkhiatna hong pai hi,” a ci hi.
Who is a God like You, who pardons iniquity and passes over the transgression of the remnant of His inheritance? He does not retain His anger forever, because He delights in loving devotion.	Topa aw, nang tawh a kibang Pasian dang om lo a, a omlai na mite’ mawhna nangmah in na maisak hi. Nang na heh paisuak kei a, na itna kip nong lak hi.
Whatever they plot against the LORD, He will bring to an end. Affliction will not rise up a second time.	Bang hangin Topa sawm ngam na hi hiam? Amah in nang hong susia ding hi. Amah a su peuhpeuh a dingkikzo om ngei lo hi.
But the LORD is in His holy temple; let all the earth be silent before Him.	Topa , a biakinn siangtho sungah om hi; leitung mi khempeuh ama mai-ah dai dide-in om ta uh hen.
“For then I will restore to the peoples a pure language, that they all may call upon the name of the LORD, to serve Him shoulder to shoulder.	“Tua ciangin minamte’ lungsim ka hei ding a, amaute in keima tung bekah thu hong ngenin, lungsim kikhatin ka na hong sem ding uh hi.
I will shake all the nations, and the desired of all nations will come, and I will fill this house with glory,’ says the LORD of Hosts.	Minam dang khempeuh lokgawp ding ka hih manin a neihsa uh sum le paite, hih munah hong kipuak ding a, biakinn sungah a dimin van hong om ding hi.
And the LORD will be king over all the earth. On that day the LORD will be one, and His name the only name.	Tua ciangin Topa pen leitung khempeuh’ kumpi suak ding a, mi khempeuh in amah bek thei-in bia ding uh hi.
“For I, the LORD, do not change; therefore you, O sons of Jacob, are not consumed.	“Kei, Topa ka hi a, lungsim a kheel lo mi ka hi hi. No Jakob suanlekhakte aw, a siacimit na hi nai kei uh hi.
“Watch and pray so that you will not enter into temptation. The spirit is willing, but the flesh is weak.”	Ze-etna-ah na puk khak loh nadingun thu ngen un. Lungsim in ze-etna nang nuam napi-in pumpi in nangzo lo hi,” a ci hi.
Very early in the morning, while it was still dark, Jesus got up, left the house, and went off to a solitary place, where He prayed.	A zing ciang phalvak ma-in Jesuh tho-in gamdaihna mun khatah na pai-in thu a ngen hi.
They asked each other, “Were not our hearts burning within us while He talked with us on the road and opened the Scriptures to us?”	Amau tegel in, “Lampi-ah i paikawmin Lai Siangtho khiatna hong gen laitakin i lungsim hong lawpsak mahmah hi mah lo ahi hiam?” a kici uh hi.
Now this is eternal life, that they may know You, the only true God, and Jesus Christ, whom You have sent.	Nang bek a man Pasian na hihna thu le nangmah in na hong sawl Jesuh Khrih hong theihna pen amaute a dingin nuntak tawntung ngah nading lampi ahi hi.
All the believers were one in heart and mind. No one claimed that any of his possessions was his own, but they shared everything they had.	Thu um mi khempeuh a lungsim uh le a ngaihsutna uh kikhat uh a, kuamah in ama neihsa kei-a’ tuam ci loin, a neih khempeuh uh a neikhawm ciat uh hi.
Consequently, faith comes from hearing the message, and the message is heard through the word of Christ.	Tua ahih ciangin zakna panin upna hong piangthei a, Khrih thu up nading pen hilhna panin hong piangthei pan hi.
Now you are the body of Christ, and each one of you is a part of it.	Tu-in note khempeuh pen Khrih pumpi na hi uh a, na vekpi-un a pumpi na khat ciat na hi uh hi.
Godly sorrow brings repentance that leads to salvation without regret, but worldly sorrow brings death.	Tua na dahna uh hotkhiatna ngahtheih nadingin na lungsim uh na kheel nadingun Pasian in hong zang ahih manin dah nading bangmah om lo hi. Ahi zongin hih leitung dahna lelte in ahihleh sihna piangsak hi.
know that a man is not justified by the works of the law, but by faith in Jesus Christ. So we, too, have put our faith in Christ Jesus that we may be justified by faith in Christ and not by the works of the law, because by the works of the law no one will be justified.	Ahi zongin Jesuh Khrih upna hang bek tawh Pasian tawh kipawl theihna kingahin, Thukham zuihna hang tawh kingah ngei lo hi, ci-in ka thei uh hi. Kote mahmah in zong, Khrih hangin Pasian tawh ka kipawl theih nadingun Jesuh Khrih ka um uh a, Thukham deihna ka zuihna hang uh tawh hi lo hi. Bang hang hiam cih leh Thukham zuihna hang tawh kuamah in Pasian tawh kipawl theihna ngah zo lo hi.
As a prisoner for the Lord, then, I urge you to live a life worthy of the calling you have received.	Tua ahih ciangin Topa’ na ka sepna hangin thong a kia keimah in note’ nuntakzia dingin a hong deihna tawh a kilawm a kituakin na nuntak nadingun ka hong hanthawn hi.
Only let your manner of life be worthy of the gospel of Christ, so that whether I come and see you or am absent, I may hear of you that you are standing firm in one spirit, with one mind striving together for the faith of the gospel.	Note tawh a omkhawm dingin ka hong paithei a, ka hong paithei kei zongin note in lungdamna thu tawh kipawl upna thu-ah ngimna kikhatin kiptakin na om nading uh le deihna kikhatin na dokhawmna thu uh ka zak theih nadingin Khrih hanga lungdamna thu tawh a kilawm a kituakin na nuntak ding uh a thupi pen ahi hi.
so that you may live a life worthy of the Lord and please Him in every way: bearing fruit in every good work, growing in the knowledge of God,	Tua bang hileh Topa’ deihna bangin nungta-in, amah a lungkimsak ding thute bek na sem tawntung ding uh a, na gamtatnate uh a hoih bekbek hong hi-in, Pasian’ thu na theihna uh hong khang semsem ding hi.
And we urge you, brothers, warn those who are idle, encourage the timid, help the weak, be patient with everyone.	Sanggamte aw, a thadah mite hilh unla, a meidawite hanthawnin, a zawngkhal mite huh unla, hih bang mite ngongbawl kei un.
So then, brothers, stand firm and hold to the traditions that you were taught, whether by word of mouth or by our letter.	Tua ahih ciangin sanggamte aw, kam tawh ahi a, lai tawh ahi zongin ka hong hilh uh thumante limtakin zui unla, kiptakin om un.
if I am delayed, you will know how people ought to conduct themselves in God’s household, which is the church of the living God, the pillar and foundation of the truth.	Ahi zongin ka hong zekai khak zenzen leh thuman thutak khuampi le bulpi, a nungta Pasian’ pawlpi ahi Pasian’ innkuan sungah bangci gamtat ding cih na theih nadingin hih ka hong laikhak in lam hong lak ding hi.
if we are faithless, He remains faithful, for He cannot deny Himself.	Amah le amah kikhem thei lo ahih manin eite i citak kei zongin amah citak veve ding hi,” ci-in a kigenna thu man mahmah hi.
He gave Himself for us to redeem us from all wickedness and to purify for Himself a people of His very own, zealous for good works.	I mawhna khempeuh panin hong honkhia ding le ama neihtuam i suahtheih nadingin Jesuh amahmah hong kipumpiak a, eite pen gamtat hoih gamtat ding a lawp mahmah ihi hi.
Confident of your obedience, I write to you, knowing that you will do even more than I ask.	Ka hong genna sangin a hoihzaw a phazaw-in na gamta ding, ci-in muan mahmahna tawh hih lai a hong gelh ka hi hi.
For here we do not have an enduring city, but we are looking for the city that is to come.	Eite a dingin hih leitungah a kip khuapi om lo ahih manin a hong piang lai ding khuapi a zong ihi hi.
For whoever keeps the whole law and yet stumbles at just one point is guilty of breaking all of it.	Mi khatpeuh in thukham dang khempeuh a zuih hangin khat a khialh nakleh a vekpi-in a khial mah ahi hi.
For to this you were called, because Christ also suffered for you, leaving you an example, that you should follow in His steps.	Khrih mahmah in zong note a dingin thuakin, ama khekhap na zuihtheih nadingun etteh ding lim hong nusiat ahih manin hih bangin a thuak ding mahin Pasian in note a hong sam ahi hi.
But the day of the Lord will come like a thief. The heavens will disappear with a roar, the elements will be destroyed by fire, and the earth and its works will be laid bare.	Ahi zongin theihkholh lohpi-in guta bangin Topa hong pai ding Ni hong tung ding hi. Tua Ni ciangin nakpitakin a ging in vantungte maimang sakin, vantung nate mei in kangtumin maimang ding a, leitung le a tunga om na khempeuh a mangthang ding hi.
There is no fear in love, but perfect love drives out fear, because fear has to do with punishment. The one who fears is not made perfect in love.	Itna nei lehang launa om lo a, itna cingtaak nei peuh lehang launa beimangta hi. Bang hang hiam cih leh launa i cih pen gimthuak ding kihtakna hi a, gimthuak ding a laute pen itna cingtaak a nei lote ahi hi.
And I saw the dead, great and small, standing before the throne, and books were opened. Another book was opened, which is the book of life. The dead were judged according to their deeds, as recorded in the books.	A lian a neu misite tua tokhom mai-ah dingin laibute a kilem ka mu hi. Tua ciangin a nungta mite a kigelhna laibu a dang khat zong a kilem ka mu hi. Amaute’ gamtatna tua laibute sungah a kigelhna tawh kizui-in misite tungah thu a kikhen hi.
down the middle of the great street of the city. On each side of the river stood the tree of life, bearing twelve crops of fruit, yielding its fruit every month. And the leaves of the tree are for the healing of the nations.	khuapi sung lampi laizangah a luang hi. Tua gun pang tuakah nuntakna singkung po a, kha simin gah ahih manin kum khat sungin sawm le nih vei a gah hi. A tehte zong natna dam nading zatui-in kizang hi.
and said, “Blessed be the LORD, the God of my master Abraham, who has not withheld His kindness and faithfulness from my master. As for me, the LORD has led me on the journey to the house of my master’s relatives.”	“Ka topa’ tungah a itna kip le a thumanna a pelh lo, ka topa Abraham’ Pasian, Topa in thupha ngah tahen. Kei ka hih leh, ka topa’ behte’ inn zuatna lampi-ah Topa in hong paipih hi,” a ci hi.
“Behold, I am sending an angel ahead of you to guard you along the way and to bring you to the place I have prepared.	“En un, keimah in ka bawlsa munah note hong paipih ding le lamkalah note hong cing dingin note’ mai-ah vantungmi khat ka sawl hi.
“The land must not be sold permanently, because the land is Mine, and you are but aliens and tenants with Me.	“Leitang pen keima-a’ ahih manin neihsuak dingin leitang kizuak lo ding hi; bang hang hiam cih leh note pen kei tawh a omkhawm khualmi leh peemtate na hi uh hi.
“The daughters of Zelophehad speak what is right. You must surely give them property as an inheritance among their father’s brothers and transfer their father’s inheritance to them.	“Zelofehad’ tanute’ thugen man hi. Amau’ pa’ sanggamte lakah neihsa gamh amaute tungah na pia ding a, amau’ pa’ gamh amaute’ tungah na tungsak ding hi.
For there will never cease to be poor in the land. Therefore I command you, ‘You shall open wide your hand to your brother, to the needy and to the poor in your land.’	Bang hang hiam cih leh leitang tungah mizawng bei ngei lo ding hi. Tua ahih ciangin, ‘Gam sungah a om na sanggampa, na a kisam mite le mizawngte tungah na cingh mahmah ding uh hi,’ ci-in thu kong pia hi.
Not one of all the LORD’s good promises to the house of Israel failed; every one was fulfilled.	Topa in Israel mite tungah a ciamsa thuhoih khempeuh khat zong a mawkna om lo a, a vekpi-in tangtung kim hi.
After that whole generation had been gathered to their fathers, another generation grew up who did not know the LORD or the work that He had done for Israel.	Tua ciangin tua khangmite khempeuh zong si khin uh a, amaute’ khit ciangin Topa hitaleh, Israel-te a dingin a septe hitaleh a thei lo khangthak hong piang uh hi.
So Samuel took the horn of oil and anointed him in the presence of his brothers, and from that day on the Spirit of the LORD came powerfully upon David. Then Samuel set out and went to Ramah.	Tua ciangin Samuel in a sathau biing sunga sathau la-in a sanggamte laizangah amah sathau a nilh hi. Tua ni a kipanin Topa’ kha in khauhtakin David hong uk hi. Tua ciangin Samuel dingin Ramah-ah a ciah hi.
How the mighty have fallen! The weapons of war have perished!”	“A vanglianpa bangci-in tuk, galhiamte bangci-in sia!” a ci hi.
“Have you seen how Ahab has humbled himself before Me? Because he has humbled himself before Me, I will not bring this disaster in his day, but I will bring it on his house in the days of his son.”	“Keima mai-ah bangzahin Ahab a kiniamkhiatna na mu hiam? Keima mai-ah amah kiniamkhiat ahih manin ama hun sungin siatna ka tungsak kei ding hi. Ahih hangin a tapa’ hun sungin ama innkuan tungah siatna ka tungsak ding hi,” a ci hi.
In the thirty-seventh year of the exile of Jehoiachin king of Judah, in the year Evil-merodach became king of Babylon, he released Jehoiachin king of Judah from prison on the twenty-seventh day of the twelfth month.	Judah kumpi Jehoiakhin thong sungah a omzawh kum sawmthum le kum sagihna kum, kha sawm le nihna, tua kha ni sawmnih le sagih ni, Babylon kumpipa Evilmerodak in uk ding a kipat kumin, hehpihna tawh thong panin Judah kumpi Jehoiakhin a khah hi.
For we are aliens and pilgrims before You, as were all our fathers. Our days on earth are like a shadow, without hope.	Bang hang hiam cih leh ka pu ka pate khempeuh uh mah bangin kote pen nangma mai-ah khualmite le pemtate ka hi uh hi. Ka hunte uh leitungah niliim bang hi a, sih ding ka pelh thei kei uh hi.
O our God, will You not judge them? For we have no power to face this vast army that is attacking us. We do not know what to do, but our eyes are upon You.”	Kote’ Pasian aw, amaute tungah thu khen lo ding na hi hiam? Bang hang hiam cih leh kote a sim dingin a hong pai hih mihon tampite a do dingin thahatna ka nei kei uh hi. Ka cih nading uh ka thei kei uh a, nangmah bek kong mitsuan uh hi,” a ci hi.
And after all that has come upon us for our evil deeds and our great guilt—though You, our God, have punished us less than our iniquities deserve and have given us a remnant like this—	Tu-in kote’ gamtatsiate le a lian ka mawhnate uh hangin hih bang gimna lian ka thuak uh hi; ahi zongin nangmah in kote’ tuah dinga kilawmzah gimna hong tuaksak loin, tu-a banga a nungta lai-in nong omsak zaw hi.
O Lord, let Your ear be attentive to the prayer of this Your servant and to the prayer of Your servants who delight in revering Your name. Give Your servant success today and grant him favor in the presence of this man.” At the time, I was cupbearer to the king.	Keima hong thungetna le nangma min a zahtak nuam na nasemte’ thungetna na bil hong ngat in. Tu-in kei tungah maavanna hong pia inla, kei tungah hih kumpipa hong migitna ding lungsim hong guan in,” ka ci hi. Tua hun laitakin kei pen kumpipa’ an a piapa ka hi hi.
And He said to man, ‘Behold, the fear of the Lord, that is wisdom, and to turn away from evil is understanding.’”	“Tua ciangin amah in mihingte tungah thu genin, ‘Topa zahtakna, pilna hi a, siatna pelhna pen thutheihna hi,’ ci hi,” a ci hi.
The LORD is my light and my salvation—whom shall I fear? The LORD is the stronghold of my life—of whom shall I be afraid?	Topa, ka khuavak le hong honpa ahi hi. Kua kihta ding ka hi hiam? Topa, kei a dingin munmuanhuai ahi hi. Bang laupih ding ka hi hiam?
Before the mountains were born or You brought forth the earth and the world, from everlasting to everlasting You are God.	Mual liante a kipiansak ma, leitang le leitung na bawl ma pek, a tawntung a kipan a tawntung dongin Pasian na hi hi.
The fear of the LORD is the instruction of wisdom, and humility comes before honor.	Topa zahtakna pen pilna mah hi pah a, kiniamkhiatna in pahtawina hong ngahsak hi.
and the dust returns to the ground it came from, and the spirit returns to God who gave it.	I pumpi, lei suakkik ding a, i nuntakna a hong pia Pasian’ kiangah i kha ciahkik ta ding hi.
He sits enthroned above the circle of the earth, and its people are like grasshoppers. He stretches out the heavens like a canopy, and spreads them out like a tent to live in.	Leitung a a teng mite kauphe tawh kibang lel hi. Leitung kimkot tungah a tupa, vantungte puan bangin zalin, a sungah a om theih nadingin puanbuk bangin a zal pa,
“O house of Israel, can I not do with you as this potter does?” declares the LORD. “Like clay in the hand of the potter, so are you in My hand, O house of Israel.	“Israel mite aw, Topa in kong cihin-ah, hih beelseek pa’ hih bangin note zong hong hih thei lo ding ka hi hiam? En un, beelseek pa’ khutsunga buan tawh kibangin, Israel mite aw, kei’ khut sungah note na om uh hi.
And I will put My Spirit in you and move you to follow My decrees and be careful to keep My laws.	Note sungah keima kha kong guang ding a, note tungah kong piak ka thukhamte le ka thupiakte limtakin kong zuisak ding hi.
But there is a God in heaven who reveals mysteries. He has shown King Nebuchadnezzar what will happen in the days to come.	Ahih hangin thusim a lak thei vantungah Pasian khat a om hi. Amah in mai lamah bang thu hong piang ding cih nangmah Nebukhadnezzar kumpipa tungah a hong hilhzo hi.
Let us know; let us press on to know the LORD. As surely as the sun rises, He will appear; He will come to us like the rain, like the spring showers that water the earth.”	Topa i theihzawh nadingin hanciam ni. Zingsang sialin pel loin khua a vak mah bangin pel loin eite kiangah amah hong pai ding a, lei a kawtsak khuapi guah pel loin hong zuk bangin eite kiangah amah hong pai hamtang ding hi,” a ci ding uh hi.
But I tell you, love your enemies and pray for those who persecute you,	Ahi zongin ke’n note kiangah kong genin-ah: Na galte uh na it unla, no hong bawlsiate a dingin thu na ngetsak un.
“Salt is good, but if it loses its saltiness, how can you make it salty again? Have salt in yourselves, and be at peace with each other.”	Ci hoih hi; ahi zongin a alna mang leh bangci alsakkik thei ding na hi uh hiam? Note in ci al bangin hoihna nei unla, khatlekhat kilem un,” a ci hi.
Give, and it will be given to you. A good measure, pressed down, shaken together, and running over will be poured into your lap. For with the measure you use, it will be measured back to you.”	Midangte tungah pia un. Tua hileh Pasian in note tungah zong hong pia ding hi. Bang hang hiam cih leh midangte na piakna uh tawh kizui-in a henhen, a tahtah, a dimletin Pasian in note tungah hong pia ding hi,” a ci hi.
Jesus declared, “I am the bread of life. He who comes to Me will never go hungry, and he who believes in Me will never be thirsty.”	Tua ciangin Jesuh in, “Kei pen nuntakna an ka hi hi. Ka kiangah hong paite gilkial ngei nawn lo ding a, kei hong umte dangtak ngei nawn lo ding hi.
“Look,” he said, “I see heaven open and the Son of Man standing at the right hand of God.”	“En un! Vantung kihong a, Pasian’ taklamah Mihing Tapa a ding ka mu hi,” a ci hi.
For sin shall not be your master, because you are not under law, but under grace.	Note pen thukham’ sawlna hangin nasem hi loin Pasian’ hong lah thuhoihte’ hangin nasem na hih uh manin mawhna’ sawlna mangin na gamta nawn kei un.
Therefore, as it is written: “Let him who boasts boast in the Lord.”	Tua ahih ciangin Lai Siangtho sungah, “A kisathei mite, Topa’ hang bekin kisathei ta hen,” ci-in na kigelh hi.
So we fix our eyes not on what is seen, but on what is unseen. For what is seen is temporary, but what is unseen is eternal.	Bang hang hiam cih leh a kimuthei nate a mitsuan ka hi kei uh a, a kimu thei lo nate a mitsuan ka hi uh hi. A kimuthei nate tomno sung bek kimang a, a kimu thei lo nate a tawntungin a kip ahi hi.
For in Christ Jesus neither circumcision nor uncircumcision has any value. The only thing that counts is faith expressing itself through love.	Bang hang hiam cih leh Jesuh Khrih tawh i kipawl ciangin vun-atna le vun-at lohna a thupi tuan om lo a, Khrih i upna hangin midangte i itna a thupi hi bek hi.
But now in Christ Jesus you who once were far away have been brought near through the blood of Christ.	Ahi zongin a gamlapi-ah a om ngei hinapi-in tu-in Khrih Jesuh tawh na kipawlna hangun ama sihna in Pasian kiang hong tunpih hi.
Each of you should look not only to your own interests, but also to the interests of others.	Note’ phattuam nading bek ngaihsun kei unla, midangte’ phattuam nading ngaihsutsak zaw un.
Children, obey your parents in everything, for this pleases the Lord.	Tate aw, na nu na pate uh thu man’ tawntung ding pen na Khristian nasep uh ahi hi. Tua bang thumanna in Pasian lungdamsak hi.
Do not quench the Spirit.	Kha Siangtho nasepna dongtangsak kei unla,
Therefore, we ourselves boast about you in the churches of God for your perseverance and faith in all the persecutions and trials you are enduring.	Bawlsiatna le gimna na thuakna khempeuh uhah na upna uh khahsuah loin thuakzo paisuak na hih manun midangte kiangah Pasian’ pawlpi ka na kisialhpih uh hi.
For physical training is of some value, but godliness has value for all things, holding promise for both the present life and the life to come.	Pumpi kisekin kisinna manpha hi. Ahi zongin kha thu-ah kisekin kisinna pen tuhun laitak le a hong tung ding hunah nuntakna hong piathei ahih manin manphazaw lai hi,
But you, keep your head in all situations, endure hardship, do the work of an evangelist, discharge all the duties of your ministry.	Ahi zongin nang na hih leh thu khempeuhah na lungsim ki-ukin haksatnate na thuak inla, Pasian’ thugen nasep semin, na nasepna-ah maa na tun in.
Our people must learn to devote themselves to doing what is good, in order to provide for urgent needs and not be unproductive.	I mite ommawk loin, thu kisam a phamawhte huh thei-in, na hoih na phate a septheih nadingun na hilh in.
And do not forget to do good and to share with others, for with such sacrifices God is pleased.	Khatlekhat tungah thuhoih kibawlin na kihuh ding uh mangngilh kei un. Hih bang gamtatnate pen Pasian a lungkimsak thei biakna ahi hi.
If anyone considers himself religious and yet does not bridle his tongue, he deceives his heart and his religion is worthless.	Mi khatpeuh in Khristian ka hi hi, ci napi-in kampau a kidopzawh kei leh amahmah a kikhemtawm hi lel a, ama biakna neih a mawkna ahi hi.
For Christ also suffered once for sins, the righteous for the unrighteous, to bring you to God. He was put to death in the body but made alive in the Spirit,	Khrih mahmah zong note a dingin si a, Pasian’ kiangah hong tunpih theih nadingin mihoih khat pen mihoih lote’ mawhna hangin khatvei a si hi. Mite in ama leitung pumpi that a, ahi zongin Pasian in kha nuntakna a pia hi.
We also have the prophetic message as something completely reliable, and you will do well to pay attention to it, as to a light shining in a dark place, until the day dawns and the morning star rises in your hearts.	Tua ahih manin kamsangte’ gen thute a man taktak ahihna thu ka teltheih uh hi. Note’ lungsimah Zingsol hong suakin khua a hong vak matengin khuamial lak a mei taang bangin hih thute ngaihsun le-uhcin hoih mahmah ding hi.
The one who does what is sinful is of the devil, because the devil has been sinning from the beginning. The reason the Son of God appeared was to destroy the devil’s work.	A kipat cil a kipanin Dawimangpa in mawhna bawl tawntung ahih manin mawhna a bawl mi khempeuhte zong Dawimangpa’ mi ahi hi. Hih Dawimangpa’ nasepna a beisak dingin Pasian’ Tapa a hong pai hi.
He who has an ear, let him hear what the Spirit says to the churches. To him who overcomes, I will give the right to eat from the tree of life, which is in the paradise of God.	Tua ahih manin zak nading bil a neite in Kha Siangtho in pawlpite kiangah a gen thute na za un. A gualzo mite tungah, Pasian’ Huan sunga om nuntakna singgahte a nektheih nadingun thu ka pia ding hi.
